Zeit;Kanal A
(s);(V)

0,00000000;12,17914200
0,00080000;12,40565900
0,00160000;12,42066600
0,00240000;12,42820800
0,00320000;12,52104800
0,00400000;12,35637400
0,00480000;12,31999000
0,00560000;12,33119200
0,00640000;12,36641100
0,00720000;12,34903900
0,00800000;12,31561500
0,00880000;12,31561500
0,00960000;12,31561500
0,01040000;12,31561500
0,01120000;12,31561500
0,01200000;12,33205900
0,01280000;12,36964900
0,01360000;12,32269000
0,01440000;12,32269000
0,01520000;12,32269000
0,01600000;12,32269000
0,01680000;12,37856000
0,01760000;12,38140500
0,01840000;12,33150000
0,01920000;12,36965400
0,02000000;12,33736600
0,02080000;12,32269000
0,02160000;12,32269000
0,02240000;12,32269000
0,02320000;12,35497500
0,02400000;12,35203900
0,02480000;12,32269000
0,02560000;12,34616900
0,02640000;12,36084500
0,02720000;12,32269000
0,02800000;12,33736500
0,02880000;12,36964900
0,02960000;12,32269000
0,03040000;12,32269000
0,03120000;12,32269000
0,03200000;12,32269000
0,03280000;12,32269000
0,03360000;12,32269000
0,03440000;12,37258300
0,03520000;12,33443000
0,03600000;12,32269000
0,03680000;12,32269000
0,03760000;12,32269000
0,03840000;12,32269000
0,03920000;12,32269000
0,04000000;12,37217000
0,04080000;12,43398100
0,04160000;12,44905000
0,04240000;12,44905100
0,04320000;12,39130600
0,04400000;12,29770700
0,04480000;12,38262000
0,04560000;12,23814400
0,04640000;12,29192900
0,04720000;12,29192900
0,04800000;12,29192900
0,04880000;12,29192900
0,04960000;12,29192900
0,05040000;12,29192900
0,05120000;12,29192900
0,05200000;12,29192900
0,05280000;12,34959900
0,05360000;12,32272900
0,05440000;12,29058800
0,05520000;12,28767800
0,05600000;12,28767800
0,05680000;12,28767800
0,05760000;12,29220800
0,05840000;12,36517700
0,05920000;12,47790300
0,06000000;12,45416700
0,06080000;12,45105300
0,06160000;12,41426700
0,06240000;12,27798200
0,06320000;12,29193100
0,06400000;12,29193100
0,06480000;12,29193100
0,06560000;12,29193100
0,06640000;12,29193100
0,06720000;12,29193100
0,06800000;12,29193100
0,06880000;12,29193100
0,06960000;12,29193100
0,07040000;12,34136200
0,07120000;12,32666500
0,07200000;12,28767800
0,07280000;12,28767800
0,07360000;12,28767800
0,07440000;12,28767800
0,07520000;12,31579000
0,07600000;12,36078800
0,07680000;12,29900100
0,07760000;12,29900100
0,07840000;12,31425800
0,07920000;12,45144700
0,08000000;12,44905400
0,08080000;12,44905400
0,08160000;12,44905400
0,08240000;12,34759200
0,08320000;12,33935700
0,08400000;12,40326700
0,08480000;12,35046000
0,08560000;12,32322600
0,08640000;12,38425400
0,08720000;12,39115400
0,08800000;12,39409000
0,08880000;12,38636600
0,08960000;12,34105400
0,09040000;12,36992800
0,09120000;12,40591100
0,09200000;12,39459100
0,09280000;12,47781850
0,09360000;12,45258700
0,09440000;12,45258700
0,09520000;12,45258700
0,09600000;12,45258700
0,09680000;12,44183800
0,09760000;12,37442500
0,09840000;12,41689100
0,09920000;12,31528200
0,10000000;12,28767800
0,10080000;12,28767800
0,10160000;12,28767800
0,10240000;12,28767800
0,10320000;12,28767800
0,10400000;12,28767800
0,10480000;12,28767800
0,10560000;12,28767800
0,10640000;12,28767800
0,10720000;12,31712000
0,10800000;12,36411100
0,10880000;12,29899100
0,10960000;12,31883400
0,11040000;12,42540500
0,11120000;12,37546300
0,11200000;12,43122600
0,11280000;12,37546300
0,11360000;12,46027300
0,11440000;12,43767400
0,11520000;12,35359000
0,11600000;12,33399700
0,11680000;12,39200300
0,11760000;12,36300100
0,11840000;12,33399700
0,11920000;12,33399700
0,12000000;12,37520000
0,12080000;12,38998200
0,12160000;12,38116900
0,12240000;12,41638850
0,12320000;12,39167200
0,12400000;12,35471900
0,12480000;12,39173700
0,12560000;12,29120200
0,12640000;12,29120200
0,12720000;12,29120200
0,12800000;12,29120200
0,12880000;12,29120200
0,12960000;12,37013700
0,13040000;12,30435800
0,13120000;12,29120300
0,13200000;12,29120200
0,13280000;12,29120200
0,13360000;12,29120200
0,13440000;12,29120200
0,13520000;12,29120200
0,13600000;12,29120200
0,13680000;12,29120200
0,13760000;12,29120200
0,13840000;12,29120200
0,13920000;12,31591800
0,14000000;12,35299000
